,name,min_value,restaurant,max_value,mean_value
35,"Arctic Rush Float, All Flavors",330,dairy-queen,550,440.0
36,"Arctic Rush Freeze, All Flavors",380,dairy-queen,610,495.0
37,"Arctic Rush, All Flavors",210,dairy-queen,350,280.0
38,Chicken & Waffles Basket,1230,dairy-queen,1620,1425.0
39,Chicken Strip Basket w/ Country Gravy,1030,dairy-queen,1260,1145.0
40,Honey BBQ Sauced & Tossed Chicken Strip Basket,1060,dairy-queen,1360,1210.0
41,Shrimp Basket,710,dairy-queen,710,710.0
42,Sweet & Tangy Sesame Sauced & Tossed Chicken Strip Basket,1070,dairy-queen,1370,1220.0
43,Antioxidant Boost,20,dairy-queen,20,20.0
44,Banana,25,dairy-queen,50,37.5
45,Energy Boost,20,dairy-queen,20,20.0
46,Protein,50,dairy-queen,50,50.0
47,Vitamin C Boost,20,dairy-queen,20,20.0
48,Bacon (2 pieces),50,dairy-queen,50,50.0
49,Bacon Biscuit Sandwich,380,dairy-queen,380,380.0
50,Biscuits & Gravy,730,dairy-queen,730,730.0
51,Chicken Biscuit Sandwich,430,dairy-queen,430,430.0
52,Cinnamon Roll,430,dairy-queen,430,430.0
53,Country Platter,760,dairy-queen,1150,955.0
54,Ham,30,dairy-queen,30,30.0
55,Ham Biscuit Sandwich,360,dairy-queen,360,360.0
56,Hashbrowns,190,dairy-queen,190,190.0
57,Pancake Platter,260,dairy-queen,730,495.0
58,Sausage,90,dairy-queen,90,90.0
59,Sausage Biscuit Sandwich,440,dairy-queen,440,440.0
60,Sausage Biscuit Twin Pack,600,dairy-queen,600,600.0
61,Ultimate Breakfast Burrito - Bacon,620,dairy-queen,620,620.0
62,Ultimate Breakfast Burrito - Ham,560,dairy-queen,560,560.0
63,Ultimate Breakfast Burrito - Sausage,620,dairy-queen,620,620.0
64,Ultimate Hashbrown Platter,640,dairy-queen,1030,835.0
65,BBQ Dipping Sauce,80,dairy-queen,80,80.0
66,Country Gravy,90,dairy-queen,90,90.0
67,Fat-Free Italian Dressing,15,dairy-queen,15,15.0
68,Fat-Free Ranch Dressing,35,dairy-queen,35,35.0
69,Fat-Free Red French Dressing,40,dairy-queen,40,40.0
70,Fat-Free Thousand Island Dressing,60,dairy-queen,60,60.0
71,Honey Mustard Dipping Sauce,250,dairy-queen,250,250.0
72,Ranch Dipping Sauce,320,dairy-queen,320,320.0
73,Sweet and Sour Dipping Sauce,90,dairy-queen,90,90.0
74,Wild Buffalo Dipping Sauce,110,dairy-queen,110,110.0
75,Bacon Cheese Dog,420,dairy-queen,420,420.0
76,Cheese Dog,390,dairy-queen,390,390.0
77,Chili Cheese Dog,380,dairy-queen,380,380.0
78,Chili Dog,330,dairy-queen,330,330.0
79,Hot Dog,290,dairy-queen,290,290.0
80,Relish Dog,350,dairy-queen,350,350.0
81,Chocolate Cone,180,dairy-queen,490,335.0
82,Chocolate Dipped Cone,220,dairy-queen,660,440.0
83,Vanilla Cone,170,dairy-queen,470,320.0
84,Caramel Sundae,300,dairy-queen,610,455.0
85,Chocolate Sundae,280,dairy-queen,570,425.0
86,Hot Fudge Sundae,300,dairy-queen,610,455.0
87,Peanut Butter Sundae,390,dairy-queen,790,590.0
88,Pineapple Sundae,230,dairy-queen,480,355.0
89,Strawberry Sundae,260,dairy-queen,480,370.0
90,Berry Pomegranate,260,dairy-queen,530,395.0
91,Mango Pineapple,250,dairy-queen,490,370.0
92,Orange,210,dairy-queen,430,320.0
93,OrangeBerry,240,dairy-queen,490,365.0
94,Piña Colada,380,dairy-queen,760,570.0
95,Strawberry,230,dairy-queen,460,345.0
96,Strawberry Banana,330,dairy-queen,680,505.0
97,Tripleberry®,360,dairy-queen,710,535.0
98,Applesauce,90,dairy-queen,90,90.0
99,Banana,110,dairy-queen,110,110.0
100,Cheeseburger Kids',400,dairy-queen,400,400.0
101,Chicken Strip Kids' (2),220,dairy-queen,220,220.0
102,Fries,190,dairy-queen,190,190.0
103,Grilled Cheese Kids',320,dairy-queen,320,320.0
104,Grilled Chicken Wrap,250,dairy-queen,250,250.0
105,Hot Dog Kids',290,dairy-queen,290,290.0
106,Kids' Strawberry Banana Smoothie,190,dairy-queen,190,190.0
107,Milk,100,dairy-queen,100,100.0
108,Berry Pomegranate,160,dairy-queen,260,210.0
109,Mango Pineapple,170,dairy-queen,260,215.0
110,Orange,140,dairy-queen,230,185.0
111,OrangeBerry,170,dairy-queen,270,220.0
112,Piña Colada,160,dairy-queen,260,210.0
113,Strawberry,160,dairy-queen,250,205.0
114,Strawberry Banana,160,dairy-queen,240,200.0
115,Tripleberry®,160,dairy-queen,270,215.0
116,Cappuccino MooLatté,450,dairy-queen,710,580.0
117,Caramel MooLatté,520,dairy-queen,690,605.0
118,French Vanilla MooLatté,500,dairy-queen,780,640.0
119,Mocha MooLatté,500,dairy-queen,820,660.0
120,Apple Tart,570,dairy-queen,570,570.0
121,Fudge Stuffed Cookie Dessert,640,dairy-queen,640,640.0
122,Triple Chocolate Brownie Treat,540,dairy-queen,540,540.0
123,Berry Pomegranate,290,dairy-queen,470,380.0
124,Mango Pineapple,250,dairy-queen,420,335.0
125,Orange,250,dairy-queen,460,355.0
126,OrangeBerry,250,dairy-queen,420,335.0
127,Piña Colada,230,dairy-queen,440,335.0
128,Strawberry,220,dairy-queen,370,295.0
129,Strawberry Banana,250,dairy-queen,430,340.0
130,Tripleberry®,290,dairy-queen,480,385.0
131,Barbecue Pork Sandwich,310,dairy-queen,310,310.0
132,Breaded Mushrooms,250,dairy-queen,250,250.0
133,Cheese Curds,550,dairy-queen,1050,800.0
134,Chili Cheese Mega Dog,760,dairy-queen,760,760.0
135,Corn Dog,260,dairy-queen,260,260.0
136,Deluxe Cheeseburger,400,dairy-queen,400,400.0
137,Deluxe Double Cheeseburger,640,dairy-queen,640,640.0
138,Deluxe Double Hamburger,540,dairy-queen,540,540.0
139,Deluxe Hamburger,350,dairy-queen,350,350.0
140,DQ Ultimate® Burger,780,dairy-queen,780,780.0
141,Pork Tenderloin Sandwich,580,dairy-queen,580,580.0
142,Steak Finger Basket,910,dairy-queen,910,910.0
143,Banana Split,520,dairy-queen,520,520.0
144,Peanut Buster® Parfait,710,dairy-queen,710,710.0
145,3 chicken strips,350,dairy-queen,350,350.0
146,Alaskan Cod Sandwich,410,dairy-queen,410,410.0
147,Chicken Bacon Ranch Sandwich,500,dairy-queen,500,500.0
148,Chicken Mozzarella Sandwich,640,dairy-queen,640,640.0
149,Crispy Chicken BLT Salad,520,dairy-queen,520,520.0
150,Crispy Chicken Garden Greens Salad,280,dairy-queen,280,280.0
151,Crispy Chicken Sandwich,600,dairy-queen,600,600.0
152,Crispy Chicken Wrap,350,dairy-queen,350,350.0
153,Grilled Chicken BLT Salad,380,dairy-queen,380,380.0
154,Grilled Chicken Garden Greens Salad,150,dairy-queen,150,150.0
155,Grilled Chicken Sandwich,360,dairy-queen,360,360.0
156,Grilled Chicken Wrap,280,dairy-queen,280,280.0
157,Side Salad,20,dairy-queen,20,20.0
158,Turkey BLT Sandwich,550,dairy-queen,550,550.0
159,Banana Malt,540,dairy-queen,860,700.0
160,Banana Shake,480,dairy-queen,750,615.0
161,Caramel Malt,610,dairy-queen,1080,845.0
162,Caramel Shake,560,dairy-queen,960,760.0
163,Chocolate Malt,590,dairy-queen,1020,805.0
164,Chocolate Shake,540,dairy-queen,900,720.0
165,Cinnamon Roll Shake,700,dairy-queen,1130,915.0
166,Hot Fudge Malt,620,dairy-queen,1090,855.0
167,Hot Fudge Shake,560,dairy-queen,970,765.0
168,Peanut Butter Malt,700,dairy-queen,1350,1025.0
169,Peanut Butter Shake,640,dairy-queen,1230,935.0
170,Strawberry Malt,550,dairy-queen,880,715.0
171,Strawberry Shake,490,dairy-queen,770,630.0
172,Vanilla Malt,580,dairy-queen,950,765.0
173,Vanilla Shake,520,dairy-queen,840,680.0
174,Buffalo Chicken Snack Melt,290,dairy-queen,290,290.0
175,Chicken Bacon BBQ Snack Melt,280,dairy-queen,280,280.0
176,Chicken Quesadilla Snack Melt,270,dairy-queen,270,270.0
177,Chili Cheese Fries,1020,dairy-queen,1020,1020.0
178,Doritos Nacho Cheese Chips,240,dairy-queen,240,240.0
179,French Fries,310,dairy-queen,500,405.0
180,Lay's BBQ Potato Chips,230,dairy-queen,230,230.0
181,Lay's Potato Chips,240,dairy-queen,240,240.0
182,Onion Rings,360,dairy-queen,360,360.0
183,Oven Baked Lay's Potato Crisps,130,dairy-queen,130,130.0
184,Banana Slices,25,dairy-queen,25,25.0
185,Brownie Pieces,130,dairy-queen,130,130.0
186,Butterfinger Pieces,110,dairy-queen,110,110.0
187,Caramel Topping,90,dairy-queen,90,90.0
188,Cheesecake Pieces,100,dairy-queen,100,100.0
189,Choco Chunks,150,dairy-queen,150,150.0
190,Chocolate Chip Cookie Dough Pieces,130,dairy-queen,130,130.0
191,Chocolate Topping,70,dairy-queen,70,70.0
192,Cocoa Fudge,140,dairy-queen,140,140.0
193,Coconut Flakes,80,dairy-queen,80,80.0
194,Heath Pieces,150,dairy-queen,150,150.0
195,Hot Fudge Topping,90,dairy-queen,90,90.0
196,M&M's Chocolate Candies,140,dairy-queen,140,140.0
197,Oreo Cookie Pieces,140,dairy-queen,140,140.0
198,Peanut Butter Topping,180,dairy-queen,180,180.0
199,Peanuts,80,dairy-queen,80,80.0
200,Pecan Pieces,100,dairy-queen,100,100.0
201,Reese's Peanut Butter Cups Pieces,140,dairy-queen,140,140.0
202,Snickers Pieces,130,dairy-queen,130,130.0
203,Strawberry Topping,25,dairy-queen,25,25.0
204,Whipped Topping,90,dairy-queen,90,90.0
205,Waffle Cone Blizzard,110,dairy-queen,240,175.0
206,Waffle Cone w/ Soft Serve,420,dairy-queen,540,480.0
0,Beer Battered Fish Taco,230,del-taco,230,230.0
1,Beyond Meat Avocado Taco,260,del-taco,260,260.0
2,Beyond Meat Taco,300,del-taco,300,300.0
3,Flatbread Taco,320,del-taco,350,335.0
4,Grilled Chicken Taco,210,del-taco,210,210.0
5,Queso Crunch Taco,400,del-taco,400,400.0
6,Street Taco,170,del-taco,180,175.0
7,The Del Taco,300,del-taco,310,305.0
8,The Turkey Del Taco,270,del-taco,280,275.0
9,Value Taco,130,del-taco,150,140.0
10,1/2 LB Bean & Cheese Burrito,450,del-taco,470,460.0
11,8 Layer Veggie Burrito,540,del-taco,540,540.0
12,Beef Burrito,500,del-taco,500,500.0
13,Chicken Rollers,250,del-taco,280,265.0
14,Combo Burrito,510,del-taco,540,525.0
15,Epic Beyond Cali Burrito,550,del-taco,550,550.0
16,Epic Burrito,750,del-taco,1040,895.0
17,Grilled Chicken Burrito,530,del-taco,530,530.0
18,"Jacked Up Value Bean, Rice & Cheese Burrito",280,del-taco,280,280.0
19,Macho Combo Burrito,950,del-taco,950,950.0
20,Queso Bean Burrito,480,del-taco,480,480.0
21,Chicken Quesadilla,550,del-taco,550,550.0
22,Chips & Queso Dip,290,del-taco,290,290.0
23,Mini Quesadilla,130,del-taco,170,150.0
24,Quesadilla,460,del-taco,460,460.0
25,Queso Loaded Nachos,960,del-taco,1060,1010.0
26,Chicken Bacon Avocado Salad,590,del-taco,590,590.0
27,Mexican Chopped Chicken Salad,510,del-taco,510,510.0
28,Signature Taco Salad,550,del-taco,550,550.0
29,Breakfast Toasted Wrap,370,del-taco,440,405.0
30,Caramel Cheesecake Bites,460,del-taco,910,685.0
31,Chocolate Chip Cookie,200,del-taco,200,200.0
32,Chocolate Shake,250,del-taco,870,560.0
33,Cinnamon Churro,180,del-taco,180,180.0
34,Donut Bites,240,del-taco,240,240.0
35,Strawberry Shake,240,del-taco,800,520.0
36,Vanilla Shake,220,del-taco,730,475.0
0,BBQ Wings,240,dominos-pizza,240,240.0
1,Boneless Chicken,170,dominos-pizza,170,170.0
2,Classic Hot Buffalo Specialty Chicken,180,dominos-pizza,180,180.0
3,Crispy Bacon & Tomato Specialty Chicken,250,dominos-pizza,250,250.0
4,Fire Wings,200,dominos-pizza,200,200.0
5,Hot Wings,200,dominos-pizza,200,200.0
6,Mild Wings,200,dominos-pizza,200,200.0
7,Plain Wings,190,dominos-pizza,190,190.0
8,Red BBQ Wings,230,dominos-pizza,230,230.0
9,Spicy Jalapeno & Pineapple Specialty Chicken,180,dominos-pizza,180,180.0
10,Sweet BBQ Bacon Specialty Chicken,210,dominos-pizza,210,210.0
11,Sweet Mango Habanero Wings,240,dominos-pizza,240,240.0
12,Chocolate Lava Crunch Cake,350,dominos-pizza,350,350.0
13,Cinnamon Bread Twists,250,dominos-pizza,250,250.0
14,Dipped Chocolate Chunk Cookie,380,dominos-pizza,380,380.0
15,Marbled Cookie Brownie,190,dominos-pizza,190,190.0
16,Chicken Alfredo Pasta,620,dominos-pizza,690,655.0
17,Chicken Carbonara Pasta,690,dominos-pizza,730,710.0
18,Italian Sausage Marinara Pasta,690,dominos-pizza,730,710.0
19,Pasta Primavera,550,dominos-pizza,660,605.0
20,6 inch Deep Dish Pizza,598,dominos-pizza,598,598.0
21,Lg Deep Dish Cheese Pizza,455,dominos-pizza,455,455.0
22,Lg Hand Tossed Cheese Pizza,374,dominos-pizza,374,374.0
23,Lg Thin Crust Pizza,273,dominos-pizza,273,273.0
24,Balsamic Vinaigrette Dressing,120,dominos-pizza,120,120.0
25,Caesar Dressing,230,dominos-pizza,230,230.0
26,Chicken Apple Pecan Salad,190,dominos-pizza,190,190.0
27,Chicken Caesar Salad,210,dominos-pizza,210,210.0
28,Classic Garden Salad,200,dominos-pizza,200,200.0
29,Italian Dressing,140,dominos-pizza,140,140.0
30,Ranch Dressing,220,dominos-pizza,220,220.0
31,Buffalo Chicken Sandwich,420,dominos-pizza,420,420.0
32,Chicken Bacon Ranch Sandwich,440,dominos-pizza,440,440.0
33,Chicken Parm Sandwich,380,dominos-pizza,380,380.0
34,Italian Sandwich,410,dominos-pizza,410,410.0
35,Mediterranean Veggie Sandwich,350,dominos-pizza,350,350.0
36,Philly Cheese Steak,320,dominos-pizza,320,320.0
37,Sweet & Spicy Chicken Habanero Sandwich,400,dominos-pizza,400,400.0
38,Breadsticks (1),116,dominos-pizza,116,116.0
39,Cheesy Bread (1),142,dominos-pizza,142,142.0
40,Anchovies,9,dominos-pizza,9,9.0
41,Bacon,54,dominos-pizza,54,54.0
42,Banana Peppers,0,dominos-pizza,0,0.0
43,Beef,63,dominos-pizza,63,63.0
44,Chedder Cheese,45,dominos-pizza,45,45.0
45,Extra Cheese,36,dominos-pizza,36,36.0
46,Fresh Mushrooms,0,dominos-pizza,0,0.0
47,Green Olives,18,dominos-pizza,18,18.0
48,Green Peppers,2,dominos-pizza,2,2.0
49,Ham,9,dominos-pizza,9,9.0
50,Italian Sausage,54,dominos-pizza,54,54.0
51,Onions,0,dominos-pizza,0,0.0
52,Pepperoni,54,dominos-pizza,54,54.0
53,Pinapple Tidbits,0,dominos-pizza,0,0.0
54,Ripe Olives,18,dominos-pizza,18,18.0
0,Cinnamon Raisin Bagel,320,dunkin-donuts,320,320.0
1,Everything Bagel,340,dunkin-donuts,340,340.0
2,Multigrain Bagel,350,dunkin-donuts,350,350.0
3,Plain Bagel,310,dunkin-donuts,310,310.0
4,Sesame Bagel,350,dunkin-donuts,350,350.0
5,White Cheddar Bagel Twist,390,dunkin-donuts,390,390.0
6,Apple Fritter,420,dunkin-donuts,420,420.0
7,Biscuit,320,dunkin-donuts,320,320.0
8,Coffee Cake,190,dunkin-donuts,230,210.0
9,Danish,400,dunkin-donuts,420,410.0
10,Donut Fries,240,dunkin-donuts,240,240.0
11,English Muffin,140,dunkin-donuts,140,140.0
12,Flatbread,160,dunkin-donuts,160,160.0
13,French Roll,260,dunkin-donuts,260,260.0
14,Muffin,410,dunkin-donuts,590,500.0
15,Oatmeal Raisin Cookie,220,dunkin-donuts,220,220.0
16,Plain Croissant,340,dunkin-donuts,340,340.0
17,Protein Muffin,480,dunkin-donuts,480,480.0
18,Snackin' Bacon,190,dunkin-donuts,190,190.0
19,Triple Chocolate Cookie,250,dunkin-donuts,250,250.0
20,Warm Chocolate Chip Cookie,250,dunkin-donuts,250,250.0
21,All You Can Meat Breakfast Sandwich,800,dunkin-donuts,800,800.0
22,All You Can Meat Wake-Up Wrap,330,dunkin-donuts,330,330.0
23,Angus Steak and Egg Sandwich,630,dunkin-donuts,630,630.0
24,Bacon Egg & Cheese Sandwich,350,dunkin-donuts,550,450.0
25,"Bacon, Egg & Cheese Wake-Up Wrap",210,dunkin-donuts,210,210.0
26,Beyond Sausage Sandwich,480,dunkin-donuts,480,480.0
27,Beyond Sausage Wake Up Wrap,250,dunkin-donuts,250,250.0
28,Big n Toasted,690,dunkin-donuts,690,690.0
29,Chorizo Burrito Bowl,350,dunkin-donuts,350,350.0
30,Egg & Cheese Wake-Up Wrap,180,dunkin-donuts,180,180.0
31,Egg and Cheese Sandwich,300,dunkin-donuts,490,395.0
32,Egg White Flatbread,320,dunkin-donuts,320,320.0
33,Egg White Veggie Wake-Up Wrap,190,dunkin-donuts,190,190.0
34,Fire Roasted Veggie Burrito Bowl,250,dunkin-donuts,250,250.0
35,Ham Egg and Cheese Sandwich,320,dunkin-donuts,520,420.0
36,"Ham, Egg & Cheese Wake-Up Wrap",200,dunkin-donuts,200,200.0
37,Hash Browns,140,dunkin-donuts,140,140.0
38,Holiday Spice Bacon Wake-Up Wrap,240,dunkin-donuts,240,240.0
39,Holiday Spice Veggie Bacon Breakfast Sandwich,650,dunkin-donuts,650,650.0
40,Maple Sugar Bacon Breakfast Sandwich,640,dunkin-donuts,640,640.0
41,Maple Sugar Bacon Wake Up Wrap,250,dunkin-donuts,250,250.0
42,Multigrain Brown Sugar Oatmeal with Dried Fruit Topping,310,dunkin-donuts,310,310.0
43,Power Breakfast Sandwich,370,dunkin-donuts,370,370.0
44,Sausage Egg and Cheese Sandwich,500,dunkin-donuts,700,600.0
45,"Sausage, Egg & Cheese Wake-Up Wrap",290,dunkin-donuts,290,290.0
46,Sweet Black Pepper Bacon Wake-Up Wrap,250,dunkin-donuts,250,250.0
47,Turkey Sausage Wake-Up Wrap,280,dunkin-donuts,280,280.0
48,Veggie Bacon and Veggie Sausage Croissant Sandwich,620,dunkin-donuts,620,620.0
49,Veggie Bacon and Veggie Sausage Wake-Up Wrap,240,dunkin-donuts,240,240.0
50,Apple Crumb Donut,320,dunkin-donuts,320,320.0
51,Apple n Spice Donut,260,dunkin-donuts,260,260.0
52,Apple Stick,420,dunkin-donuts,420,420.0
53,Bavarian Creme Donut,270,dunkin-donuts,270,270.0
54,Bismark,490,dunkin-donuts,490,490.0
55,Boston Kreme Donut,300,dunkin-donuts,300,300.0
56,Butternut Donut,410,dunkin-donuts,410,410.0
57,Caramel Chocoholic Donut,400,dunkin-donuts,400,400.0
58,Chocolate Butternut Donut,410,dunkin-donuts,410,410.0
59,Chocolate Coconut Donut,400,dunkin-donuts,400,400.0
60,Chocolate Creme Donut,320,dunkin-donuts,320,320.0
61,Chocolate Dipped French Cruller,310,dunkin-donuts,310,310.0
62,Chocolate Frosted Cake Donut,350,dunkin-donuts,350,350.0
63,Chocolate Frosted Donut,280,dunkin-donuts,280,280.0
64,Chocolate Frosted Donut with Sprinkles,290,dunkin-donuts,290,290.0
65,Chocolate Headlight Donut,330,dunkin-donuts,330,330.0
66,Chocolate Long John,340,dunkin-donuts,340,340.0
67,Cinnamon Donut,310,dunkin-donuts,310,310.0
68,Cinnamon Stick,380,dunkin-donuts,380,380.0
69,Coconut Donut,400,dunkin-donuts,400,400.0
70,Coffee Roll,390,dunkin-donuts,390,390.0
71,Cookie Dough and Brownie Batter Double Filled Donut,480,dunkin-donuts,480,480.0
72,Dear Santa Donut,350,dunkin-donuts,350,350.0
73,Double Chocolate Donut,350,dunkin-donuts,350,350.0
74,Eclair,380,dunkin-donuts,380,380.0
75,French Cruller,260,dunkin-donuts,260,260.0
76,Frosted Vanilla Creme Donut,360,dunkin-donuts,360,360.0
77,Glazed Blueberry Donut,340,dunkin-donuts,340,340.0
78,Glazed Chocolate Donut,340,dunkin-donuts,340,340.0
79,Glazed Chocolate Stick,410,dunkin-donuts,410,410.0
80,Glazed Donut,260,dunkin-donuts,260,260.0
81,Glazed Jelly Donut,310,dunkin-donuts,310,310.0
82,Glazed Jelly Stick,480,dunkin-donuts,480,480.0
83,Glazed Lemon Donut,300,dunkin-donuts,300,300.0
84,Glazed Old Fashioned Donut,340,dunkin-donuts,340,340.0
85,Glazed Stick,410,dunkin-donuts,410,410.0
86,Glazed Strawberry Donut,320,dunkin-donuts,320,320.0
87,Hershey's Kisses Donut,460,dunkin-donuts,460,460.0
88,Holiday Brownie Crumble Donut,310,dunkin-donuts,310,310.0
89,Holly Berry Sprinkles Donut,290,dunkin-donuts,290,290.0
90,Jelly Donut,270,dunkin-donuts,270,270.0
91,Jelly Stick,440,dunkin-donuts,440,440.0
92,Lemon Donut,260,dunkin-donuts,260,260.0
93,Lemon Stick,430,dunkin-donuts,430,430.0
94,Maple Creme Donut,330,dunkin-donuts,330,330.0
95,Maple Frosted Donut,270,dunkin-donuts,270,270.0
96,Maple Vanilla Creme Donut,360,dunkin-donuts,360,360.0
97,Old Fashioned Cake Donut,290,dunkin-donuts,290,290.0
98,Peanut Donut,450,dunkin-donuts,450,450.0
99,Powdered Stick,390,dunkin-donuts,390,390.0
100,Powdered Donut,320,dunkin-donuts,320,320.0
101,Pumpkin Donut,380,dunkin-donuts,380,380.0
102,Sour Cream Donut,340,dunkin-donuts,340,340.0
103,Spider Donut,350,dunkin-donuts,350,350.0
104,Spring Fling Donut,290,dunkin-donuts,290,290.0
105,Strawberry Frosted Donut,280,dunkin-donuts,280,280.0
106,Strawberry Frosted Sprinkles Donut,290,dunkin-donuts,290,290.0
107,Strawberry Long John,340,dunkin-donuts,340,340.0
108,Sugared Stick,380,dunkin-donuts,380,380.0
109,Taillight Donut,340,dunkin-donuts,340,340.0
110,Toasted Coconut Donut,420,dunkin-donuts,420,420.0
111,Vanilla Creme Donut,330,dunkin-donuts,330,330.0
112,Vanilla Frosted Donut,280,dunkin-donuts,280,280.0
113,Vanilla Headlight Donut,340,dunkin-donuts,340,340.0
114,Vanilla Long John,340,dunkin-donuts,340,340.0
115,Butternut Munchkin,90,dunkin-donuts,90,90.0
116,Cinnamon Munchkin,60,dunkin-donuts,60,60.0
117,Glazed Blueberry Munchkin,70,dunkin-donuts,70,70.0
118,Glazed Chocolate Munchkin,70,dunkin-donuts,70,70.0
119,Glazed Munchkin,70,dunkin-donuts,70,70.0
120,Glazed Old Fashioned Munchkin,70,dunkin-donuts,70,70.0
121,Jelly Munchkin,70,dunkin-donuts,70,70.0
122,Old Fashioned Munchkin,60,dunkin-donuts,60,60.0
123,Powdered Munchkin,60,dunkin-donuts,60,60.0
124,Chicken Bacon Sandwich,580,dunkin-donuts,580,580.0
125,Chicken Salad Croissant Sandwich,580,dunkin-donuts,580,580.0
126,Ham and Cheddar Sandwich,390,dunkin-donuts,390,390.0
127,Snack n Go Wrap,210,dunkin-donuts,320,265.0
128,Texas Toast Grilled Cheese,500,dunkin-donuts,560,530.0
129,Tuna Salad Sandwich,580,dunkin-donuts,580,580.0
130,Turkey Sausage Flatbread Sandwich,480,dunkin-donuts,480,480.0
131,"Turkey, Cheddar & Bacon Ciabatta Sandwich",440,dunkin-donuts,440,440.0
132,Waffle Breaded Chicken Tenders,290,dunkin-donuts,290,290.0
0,Bacon Burger,780,five-guys,780,780.0
1,Bacon Cheeseburger,920,five-guys,920,920.0
2,Cheeseburger,840,five-guys,840,840.0
3,Hamburger,700,five-guys,700,700.0
4,Little Bacon Burger,560,five-guys,560,560.0
5,Little Bacon Cheeseburger,630,five-guys,630,630.0
6,Little Cheeseburger,550,five-guys,550,550.0
7,Little Hamburger,480,five-guys,480,480.0
8,Bunless Bacon Burger,520,five-guys,520,520.0
9,Bunless Bacon Cheeseburger,660,five-guys,660,660.0
10,Bunless Cheeseburger,580,five-guys,580,580.0
11,Bunless Hamburger,440,five-guys,440,440.0
12,Bunless Little Bacon Burger,300,five-guys,300,300.0
13,Bunless Little Bacon Cheeseburger,370,five-guys,370,370.0
14,Bunless Little Cheeseburger,290,five-guys,290,290.0
15,Bunless Little Hamburger,220,five-guys,220,220.0
16,Bunless Bacon Cheese Dog,435,five-guys,435,435.0
17,Bunless Bacon Dog,365,five-guys,365,365.0
18,Bunless Cheese Dog,355,five-guys,355,355.0
19,Bunless Hot Dog,285,five-guys,285,285.0
20,Bacon Cheese Dog,695,five-guys,695,695.0
21,Bacon Dog,625,five-guys,625,625.0
22,Cheese Dog,615,five-guys,615,615.0
23,Hot Dog,545,five-guys,545,545.0
24,Cajun Style Fries,953,five-guys,953,953.0
25,Five Guys Style Fries,953,five-guys,953,953.0
26,BLT,533,five-guys,533,533.0
27,Cheese Veggie,510,five-guys,510,510.0
28,Grilled Cheese,470,five-guys,470,470.0
29,Veggie Sandwich,440,five-guys,440,440.0
30,A.1. Original Steak Sauce,15,five-guys,15,15.0
31,Bacon,80,five-guys,80,80.0
32,Cattlemen's BBQ Sauce,60,five-guys,60,60.0
33,Cheese,70,five-guys,70,70.0
34,Frank's Original Hot Sauce,0,five-guys,0,0.0
35,Green Peppers,5,five-guys,5,5.0
36,Jalapenos,3,five-guys,3,3.0
37,Ketchup,15,five-guys,15,15.0
38,Lettuce,4,five-guys,4,4.0
39,Mayonnaise,100,five-guys,100,100.0
40,Mt. Olive Special Sweet Green Relish,15,five-guys,15,15.0
41,Mushrooms,10,five-guys,10,10.0
42,Mustard,0,five-guys,0,0.0
43,Onions,10,five-guys,10,10.0
44,Pickles,5,five-guys,5,5.0
45,Tomatoes,9,five-guys,9,9.0
0,All-Meat Combo,220,godfathers-pizza,500,360.0
1,Bacon Cheeseburger,210,godfathers-pizza,480,345.0
2,Cheese,150,godfathers-pizza,350,250.0
3,Combo,200,godfathers-pizza,480,340.0
4,Hawaiian,160,godfathers-pizza,370,265.0
5,Hot Stuff,210,godfathers-pizza,490,350.0
6,Humble Pie,220,godfathers-pizza,510,365.0
7,Pepperoni,160,godfathers-pizza,400,280.0
8,Super Combo,220,godfathers-pizza,520,370.0
9,Super Hawaiian,170,godfathers-pizza,410,290.0
10,Super Taco,230,godfathers-pizza,530,380.0
11,Taco Pie,210,godfathers-pizza,500,355.0
12,Veggie Pie,160,godfathers-pizza,370,265.0
13,Cherry Coke,120,godfathers-pizza,120,120.0
14,Classic Coke,117,godfathers-pizza,117,117.0
15,Coffee,5,godfathers-pizza,5,5.0
16,Diet Coke,0,godfathers-pizza,0,0.0
17,Dr. Pepper,117,godfathers-pizza,117,117.0
18,Mellow Yellow,169,godfathers-pizza,169,169.0
19,Peak Tea Unsweetened,5,godfathers-pizza,5,5.0
20,Pink Lemonade,113,godfathers-pizza,113,113.0
21,Powerade,10,godfathers-pizza,10,10.0
22,Sprite,120,godfathers-pizza,120,120.0
23,All-Meat Combo Golden Crust Pizza,85,godfathers-pizza,127,106.0
24,Bacon Cheeseburger Golden Crust Pizza,93,godfathers-pizza,130,111.5
25,Cheese Golden Crust Pizza,61,godfathers-pizza,94,77.5
26,Combo Golden Crust Pizza,93,godfathers-pizza,133,113.0
27,Hawaiian Golden Crust Pizza,81,godfathers-pizza,116,98.5
28,Hot Stuff Golden Crust Pizza,88,godfathers-pizza,128,108.0
29,Humble Pie Golden Crust Pizza,88,godfathers-pizza,121,104.5
30,Pepperoni Golden Crust Pizza,63,godfathers-pizza,102,82.5
31,Super Combo Golden Crust Pizza,106,godfathers-pizza,156,131.0
32,Super Hawaiian Golden Crust Pizza,79,godfathers-pizza,121,100.0
33,Super Taco Golden Crust Pizza,121,godfathers-pizza,172,146.5
34,Taco Pie Golden Crust Pizza,111,godfathers-pizza,157,134.0
